id,timestamp,value,sensor_id
12673,2024-08-25 00:00:56.674345,49.0,4
12676,2024-08-25 00:02:00.354101,48.0,4
12679,2024-08-25 00:03:04.059735,49.0,4
12682,2024-08-25 00:04:07.774948,48.0,4
12685,2024-08-25 00:05:11.428596,50.0,4
12688,2024-08-25 00:06:15.128934,49.0,4
12691,2024-08-25 00:07:18.876459,49.0,4
12694,2024-08-25 00:08:22.593556,49.0,4
12697,2024-08-25 00:09:26.311461,49.0,4
12700,2024-08-25 00:10:30.017594,48.0,4
12703,2024-08-25 00:11:33.734167,48.0,4
12706,2024-08-25 00:12:37.484224,49.0,4
12709,2024-08-25 00:13:41.244962,49.0,4
12712,2024-08-25 00:14:45.000546,48.0,4
12715,2024-08-25 00:15:48.732782,49.0,4
12718,2024-08-25 00:16:52.481677,49.0,4
12721,2024-08-25 00:17:56.251100,48.0,4
12724,2024-08-25 00:19:00.132451,49.0,4
12727,2024-08-25 00:20:03.893208,49.0,4
12730,2024-08-25 00:21:07.790940,49.0,4
12733,2024-08-25 00:22:11.508883,49.0,4
12736,2024-08-25 00:23:15.299688,49.0,4
12739,2024-08-25 00:24:19.033393,48.0,4
12742,2024-08-25 00:25:22.761669,49.0,4
12745,2024-08-25 00:26:26.517506,49.0,4
12748,2024-08-25 00:27:30.241939,49.0,4
12753,2024-08-25 00:29:37.428788,49.0,4
12756,2024-08-25 00:30:41.157595,48.0,4
12759,2024-08-25 00:31:44.869930,48.0,4
12762,2024-08-25 00:32:48.553904,50.0,4
12765,2024-08-25 00:33:52.355592,49.0,4
12768,2024-08-25 00:34:56.111340,48.0,4
12773,2024-08-25 00:37:03.389108,49.0,4
12776,2024-08-25 00:38:07.092252,49.0,4
12779,2024-08-25 00:39:10.991508,49.0,4
12782,2024-08-25 00:40:14.719906,48.0,4
12785,2024-08-25 00:41:18.460307,49.0,4
12788,2024-08-25 00:42:22.257022,48.0,4
12791,2024-08-25 00:43:25.971008,49.0,4
12794,2024-08-25 00:44:29.701306,49.0,4
12797,2024-08-25 00:45:33.415274,49.0,4
12800,2024-08-25 00:46:37.110850,49.0,4
12803,2024-08-25 00:47:40.828079,49.0,4
12806,2024-08-25 00:48:44.586666,49.0,4
12809,2024-08-25 00:49:48.349583,49.0,4
12812,2024-08-25 00:50:52.124085,49.0,4
12815,2024-08-25 00:51:55.906473,49.0,4
12818,2024-08-25 00:52:59.663451,48.0,4
12821,2024-08-25 00:54:03.417375,48.0,4
12824,2024-08-25 00:55:07.159600,49.0,4
12827,2024-08-25 00:56:10.889288,49.0,4
12830,2024-08-25 00:57:14.636132,49.0,4
12833,2024-08-25 00:58:18.389666,49.0,4
12836,2024-08-25 00:59:22.115357,49.0,4
12839,2024-08-25 01:00:25.848610,49.0,4
